Age,Gender,Condition,Experiment ID,animacy,anthropomorphism,lesson,transitions,recall,recognition,p_corr_0_meanF0Hz,Proximity_meanF0Hz,Convergence_meanF0Hz,p_corr_0_stdevF0Hz,Proximity_stdevF0Hz,Convergence_stdevF0Hz,p_corr_0_HNR,Proximity_HNR,Convergence_HNR,p_corr_0_localJitter,Proximity_localJitter,Convergence_localJitter,p_corr_0_localabsoluteJitter,Proximity_localabsoluteJitter,Convergence_localabsoluteJitter,p_corr_0_rapJitter,Proximity_rapJitter,Convergence_rapJitter,p_corr_0_ppq5Jitter,Proximity_ppq5Jitter,Convergence_ppq5Jitter,p_corr_0_ddpJitter,Proximity_ddpJitter,Convergence_ddpJitter,p_corr_0_localShimmer,Proximity_localShimmer,Convergence_localShimmer,p_corr_0_localdbShimmer,Proximity_localdbShimmer,Convergence_localdbShimmer,p_corr_0_apq3Shimmer,Proximity_apq3Shimmer,Convergence_apq3Shimmer,p_corr_0_apq5Shimmer,Proximity_apq5Shimmer,Convergence_apq5Shimmer,p_corr_0_apq11Shimmer,Proximity_apq11Shimmer,Convergence_apq11Shimmer,p_corr_0_ddaShimmer,Proximity_ddaShimmer,Convergence_ddaShimmer,p_corr_0_meanPitch,Proximity_meanPitch,Convergence_meanPitch,p_corr_0_maxPitch,Proximity_maxPitch,Convergence_maxPitch,p_corr_0_minPitch,Proximity_minPitch,Convergence_minPitch,p_corr_0_meanIntensity,Proximity_meanIntensity,Convergence_meanIntensity,p_corr_0_maxIntensity,Proximity_maxIntensity,Convergence_maxIntensity,p_corr_0_minIntensity,Proximity_minIntensity,Convergence_minIntensity
26,Male,1,Dekel-6,0.65,0.6,0.6,0.8,0.2553409091,0.9444444444,-0.1042541828,-0.4452203266,-0.2656708519,-0.1657642019,-0.4315689903,0.5541806307,-0.3526507439,-0.6187080217,-0.1884593881,-0.08402114322,-0.5168642663,0.1604566919,-0.05085229433,-0.5045382211,0.3175634818,0.004434077003,-0.5833963182,0.2817288089,-0.1223585185,-0.5639228469,0.4562873477,0.004434077003,-0.5833963182,0.2817288089,0.3837409267,-0.4334955065,0.3316493043,0.4969666287,-0.3980012416,0.2713849459,0.1034276278,-0.5206684966,0.6590670207,0.3303323352,-0.3431574467,0.3212892415,0.1496416308,-0.3688496889,0.6467015976,0.1034276278,-0.5206684966,0.6590670207,-0.1998144097,-0.420594332,0.3787953094,-0.1622135133,-0.3738633145,0.05252533554,-0.2272942654,-0.4156202568,0.2955282871,-0.2440078146,-0.4260212298,-0.554279275,0.167965083,-0.4364225044,0.0008907610519,-0.2052124509,-0.5060422692,0.1267467661
30,Male,1,Dekel-7 Human,0.7,0.7,0.4,0.8,0.1147348485,0.8333333333,-0.2910381017,-0.4849959205,0.03844603847,-0.1302526487,-0.4386262495,0.3821403732,0.1151295697,-0.4966222897,0.5572319214,0.6076826565,-0.3370581524,0.138139231,0.5666082858,-0.398537522,-0.3800200366,0.4201106234,-0.4011847777,-0.1271828993,0.4717973525,-0.4268338084,-0.2102609705,0.4201106234,-0.4011847777,-0.1271828993,0.1778241822,-0.4617272948,0.4216017507,0.1233003075,-0.4549163541,0.348249787,0.1221424852,-0.4167348208,0.5932520546,-0.2074763415,-0.5498555856,-0.1220491595,0.1628737875,-0.3868614321,0.275451004,0.1221424852,-0.4167348208,0.5932520546,-0.2545637457,-0.436383573,0.2158313395,-0.1942501993,-0.5458182625,0.04218150611,-0.3107629845,-0.3485049025,0.2616356478,-0.5357990907,-0.5778399807,-0.2380884941,0.009726746553,-0.4810085111,0.07090843123,-0.3562899783,-0.534888212,-0.2983465996
24,Female,1,Dekel-8 Human,0.95,0.9,1,1,0.2865909091,0.9444444444,0.08998396882,-0.4435305834,0.622293216,-0.3432849431,-0.6356576983,0.006174370527,-0.2205564883,-0.6021761306,-0.2204711718,-0.2802267272,-0.582575505,0.1489375176,-0.1611322716,-0.5353610169,0.3721073027,-0.467683893,-0.6767660546,0.1603496084,-0.4245968533,-0.6947597586,0.1260840486,-0.467683893,-0.6767660546,0.1603496084,-0.1135795681,-0.5878525047,0.3296773118,-0.1627061396,-0.5787229545,0.2663461724,-0.1840865241,-0.6580821084,0.383821648,-0.08754525644,-0.5658174842,0.2087220527,-0.06937742387,-0.4706422853,0.4254114843,-0.1840865241,-0.6580821084,0.383821648,-0.2225714137,-0.4545121348,0.4668668436,-0.3258422014,-0.6078434698,-0.1450257118,-0.1874494913,-0.4419085098,0.614122438,-0.07873811387,-0.4752088159,-0.1882574099,0.01957881941,-0.5162425125,-0.03879397042,-0.2489227709,-0.5136141965,-0.3619854838
24,Male,1,Masha10-Human,0.45,0.3,0.2,0.6,0.1896212121,0.7222222222,-0.01335786069,-0.5313520203,-0.5027008793,0.06333772859,-0.4702009836,0.1543296866,-0.05948818658,-0.5569052311,-0.2521520643,-0.03128584427,-0.4209231135,-0.4557200562,-0.0699004703,-0.4353023693,-0.2399765797,0.1125703233,-0.429152587,-0.4771601184,-0.2769526344,-0.5185315738,-0.1875444688,0.1125703233,-0.429152587,-0.4771601184,-0.2227028657,-0.5087398681,-0.3245130967,-0.1986515763,-0.4844423391,-0.1757201926,0.1113579857,-0.3592426651,-0.3368574266,-0.08687120325,-0.4723479494,0.3244810022,0.3160306286,-0.4233380461,0.02817150197,0.1113579857,-0.3592426651,-0.3368574266,-0.2194456336,-0.5641693432,-0.6899412594,-0.1007489127,-0.4406115329,-0.4932075123,0.2229039984,-0.3441589383,0.1922639494,0.213802231,-0.5438061283,-0.2602311681,0.324325162,-0.4455439527,0.1905233392,0.294529911,-0.4267255179,-0.5002144848
23,Female,1,Masha11-Human,0.7,0.75,0.6,0.2,0.3488636364,0.8888888889,0.09556153595,-0.5785996159,-0.3038804111,-0.04932305532,-0.5327721863,0.2441322562,-0.1064552479,-0.681967872,0.1380571121,0.2028760113,-0.5017023704,0.1455602593,0.3747717114,-0.4137772235,0.2871950252,-0.194919944,-0.720959695,0.1157691188,-0.109764971,-0.6159127069,0.1112093376,-0.194919944,-0.720959695,0.1157691188,0.2809385283,-0.3614076994,-0.4183950074,0.2996894212,-0.3817916669,-0.2216958244,0.1892455256,-0.3939186232,-0.3416658428,0.1261991898,-0.4034032843,-0.1115261758,0.5488254378,-0.3191389049,-0.3637094346,0.1892455256,-0.3939186232,-0.3416658428,-0.2019913153,-0.6865435727,-0.1444962976,-0.1694816599,-0.5322296671,0.1671017322,-0.2063273138,-0.4051840785,-0.2806445869,-0.6702000749,-0.5170004376,0.03259746998,-0.2699603711,-0.6400169606,0.2098679617,-0.6140469361,-0.5213137729,0.103516441
24,Female,1,Masha3-Human,0.65,0.6,0.6,0.6,0.3348106061,0.8888888889,0.0680362817,-0.4599981151,-0.1529822618,0.2110992997,-0.3138357727,-0.3937226328,0.2921349042,-0.4222321598,0.1266683349,0.05021146298,-0.4558832835,0.230077794,0.01828749006,-0.4669485282,0.108705646,0.03268655265,-0.4777722944,0.2949001829,0.04975180582,-0.4272904352,0.3137773413,0.03268655265,-0.4777722944,0.2949001829,-0.09815407956,-0.5050855242,0.00777470822,0.03229128864,-0.4554234742,-0.01684127267,0.0390172148,-0.4916331121,-0.1121376425,-0.01248938749,-0.4460501703,0.03069488701,0.1127846158,-0.4187398043,-0.1081343645,0.0390172148,-0.4916331121,-0.1121376425,0.3686032522,-0.4343798191,-0.2638890422,0.1545921805,-0.5049827165,-0.008339559405,0.03431175084,-0.4457208133,-0.1800208798,-0.08374802226,-0.408082821,-0.2258225791,0.1653606664,-0.5218217081,-0.2955485218,-0.02499973162,-0.460612142,-0.4953857772
24,Female,1,Masha8-Human,1,1,1,1,0.1697348485,0.5555555556,0.001315499056,-0.398243203,0.5520091545,-0.4036485572,-0.567450759,0.0831785821,-0.2369890287,-0.5431572383,0.3242332859,-0.2340154075,-0.3092312774,-0.1254736895,-0.2453210254,-0.3079961646,0.1660636681,0.1062625697,-0.3835801727,-0.3323268209,0.2766469156,-0.3470690502,-0.2378120217,0.1062625697,-0.3835801727,-0.3323268209,-0.1551835476,-0.2837579307,-0.08957202534,-0.1085796408,-0.2820961054,-0.02127033019,0.1691676401,-0.2922818429,-0.2661004767,0.4233437524,-0.2322292557,-0.4719829359,-0.1542696059,-0.3817375399,-0.06723556524,0.1691676401,-0.2922818429,-0.2661004767,0.4085703118,-0.2928080721,0.3106448485,0.02705854982,-0.2687581519,0.4776127362,0.6314530606,-0.236549492,0.1470329232,-0.4459606066,-0.4146814606,0.4076620583,0.3913845473,-0.4349092946,0.1759626646,-0.0002498420244,-0.401999237,-0.02870053272
26,Male,1,Nash-Dec 10 12_30- Human- Male,0.35,0.25,0.4,0.4,0.2463636364,0.7777777778,0.4987889109,-0.3010080273,-0.3274666783,0.007006063712,-0.3407509645,-0.5742018048,0.1090220474,-0.5140899315,-0.1735544125,0.1587096808,-0.3453933847,0.07717481188,-0.07024815878,-0.3383702754,0.378564294,0.4947150341,-0.3571953177,-0.3266435163,0.4558080199,-0.3924196136,-0.2655222586,0.4947150341,-0.3571953177,-0.3266435163,0.2465094561,-0.4391050744,-0.3409609828,0.1561002163,-0.4509812777,-0.3512333334,0.1795274951,-0.4365442737,-0.3935301571,0.2665215799,-0.5219149106,-0.606830421,0.1848249892,-0.4532284686,-0.5069555668,0.1795274951,-0.4365442737,-0.3935301571,0.3675569461,-0.3860893764,-0.2184721871,0.1386733954,-0.3462169791,0.07856862674,0.2141379156,-0.4141632571,-0.09153832105,0.2624045,-0.3954686824,-0.2926945315,-0.07535515368,-0.69919909,-0.1172066811,0.06003106364,-0.4517524075,-0.1667839027
25,Female,1,Nash10- Human,0.9,0.95,0.8,0.6,0.2096590909,0.7777777778,-0.07384721001,-0.5814607471,0.29228972,0.2540566248,-0.3203057354,-0.09287288943,-0.2286611911,-0.5898777827,-0.2378322789,0.2034970671,-0.4476025252,-0.1812513178,0.07749752439,-0.4984195625,0.2036554444,0.2686322057,-0.5404347803,-0.1820156862,-0.01084738798,-0.576778753,-0.3470919087,0.2686322057,-0.5404347803,-0.1820156862,0.1107831046,-0.5891603333,-0.0427284612,0.09220271736,-0.5941301209,-0.1484397784,0.2924022506,-0.5189147019,0.3466267029,0.2460276284,-0.5203832228,0.2095764615,0.02973989504,-0.5168683263,-0.1310434574,0.2924022506,-0.5189147019,0.3466267029,-0.2479619633,-0.7696944577,0.4288022131,0.1761739597,-0.4502225715,-0.4003923462,-0.09262060145,-0.4537103367,0.183781547,0.07182064403,-0.4252259387,0.531113418,-0.3116592713,-0.5223151621,-0.3271095343,0.1935239938,-0.3983371545,-0.0526038836
22,Male,1,Nash2,0.95,0.9,0.6,0.6,0.2368939394,0.5,-0.4344815716,-0.6918721254,0.6580383831,-0.4262656718,-0.4297846318,-0.4396268428,-0.4036646741,-0.6455529488,0.1176551407,-0.1777814854,-0.5576947985,0.02287972553,-0.2974610004,-0.5833907846,0.3904523476,-0.4145036287,-0.7491855447,0.1102573503,-0.04511308932,-0.5251844441,0.05165245043,-0.4145036287,-0.7491855447,0.1102573503,-0.08285344341,-0.6744530341,0.3399265142,-0.03771871656,-0.66762591,0.4514531575,-0.2691889034,-0.7785192533,0.3893461232,-0.05753184761,-0.6131523485,0.4919162051,-0.2801888857,-0.5025965841,0.5024811245,-0.2691889034,-0.7785192533,0.3893461232,-0.1284121583,-0.6300142849,0.3650297888,-0.190147861,-0.419278844,-0.1811836243,0.4178804147,-0.2278025686,-0.4239578842,0.03989963058,-0.3957985237,0.3627074497,0.3905860203,-0.3384265014,-0.05012267676,-0.114039703,-0.446863782,0.4439691868
22,Male,1,Nash3,0.7,0.6,0.6,0.4,0.311780303,0.8333333333,0.0938864025,-0.4499681462,-0.01532723881,-0.1204893156,-0.3771030882,-0.009615194981,-0.2912033804,-0.6460556258,0.299793029,0.3072468118,-0.3869887155,0.007171041072,0.1743912502,-0.3271316181,-0.4553374689,0.1348239583,-0.4872970498,0.007685399909,0.4438030828,-0.4367091947,-0.1614669033,0.1348239583,-0.4872970498,0.007685399909,0.3931706775,-0.3418614406,0.04136362789,0.2955279899,-0.3542166432,-0.1481027569,0.4734072321,-0.501194735,-0.256579105,-0.0682873223,-0.4755823556,-0.6812309203,-0.551476305,-0.624963445,-0.7361595692,0.4734072321,-0.501194735,-0.256579105,-0.3187020709,-0.6952237582,0.02356254458,0.0539319619,-0.4497006407,-0.1952979197,-0.07129859675,-0.4448443823,-0.05127808241,-0.1036653267,-0.6399601755,0.1572068854,-0.1532145963,-0.6996674701,0.04223960688,-0.1056452967,-0.4720601643,0.007362565848
54,Male,1,Nash4- Human,0.8,0.85,0.8,1,0.2608712121,0.7222222222,-0.03967487185,-0.5477197284,0.4040771992,0.09269499182,-0.4055159473,-0.4530368203,-0.4601047766,-0.4407127282,0.03750201443,-0.1961039581,-0.4767030076,0.009291912891,0.02862484714,-0.535257192,0.2471212191,-0.242646348,-0.5590355805,0.2362282492,-0.3402637399,-0.5060668054,0.1507047326,-0.242646348,-0.5590355805,0.2362282492,-0.3437663668,-0.5433187154,-0.3252125717,-0.2413734159,-0.5122223593,-0.2150645633,-0.3756339601,-0.6561723507,-0.3902336747,-0.4549918947,-0.5330189129,-0.3181622818,-0.1859697813,-0.4346475502,0.1217583375,-0.3756339601,-0.6561723507,-0.3902336747,0.2122630638,-0.431208415,0.105980158,-0.2150687242,-0.5288550942,0.2135857357,0.156072732,-0.3995771121,-0.05183761586,-0.18144585,-0.4222229441,0.1390277595,-0.09207772852,-0.4662606859,-0.2399941694,-0.1025401774,-0.3571714867,0.5094683315
49,Female,1,Nash5- Human,1,1,1,1,0.2087878788,0.5555555556,-0.465671482,-0.6704613356,0.7761019358,0.06694791857,-0.3801291572,-0.4361781308,-0.1354562981,-0.7007675291,-0.2571031465,0.137902541,-0.3939270641,0.06311063353,0.2077420101,-0.4463836967,0.4274464598,0.03281996053,-0.5088458483,0.0273123624,-0.05964218001,-0.5578554783,-0.02713847806,0.03281996053,-0.5088458483,0.0273123624,-0.2202893413,-0.6879204596,-0.1872208608,-0.03353877593,-0.6102827585,-0.09230414235,-0.5421045598,-0.9845205857,-0.2040983856,-0.556761673,-0.9025402845,-0.2013930623,0.1008995551,-0.4394213371,-0.0354789228,-0.5421045598,-0.9845205857,-0.2040983856,-0.3034957487,-0.5566053615,0.6813184289,-0.0472993818,-0.4824908467,-0.1973847635,-0.2589642181,-0.6733874751,0.687793192,0.3153471849,-0.5040247204,-0.5979769958,-0.07469884488,-0.631545182,-0.3779348399,0.07944599491,-0.4454476183,-0.2490369032
35,Male,1,Nash6- Human,0.35,0.3,0.8,0.4,0.1479545455,0.6111111111,0.07677701438,-0.4759009886,0.3367233074,-0.6435196848,-0.5741870499,-0.1501821712,-0.4882998354,-0.6039511737,-0.0623580803,-0.4013150163,-0.5044290205,-0.06144840641,-0.2825090431,-0.5802166395,0.2472072615,-0.4156074355,-0.6370773051,-0.008049524959,-0.2752862696,-0.6099403399,-0.393506704,-0.4156074355,-0.6370773051,-0.008049524959,-0.171127318,-0.6970999152,-0.2400756532,-0.08852054478,-0.594192817,-0.1369479341,-0.1117426207,-0.632752312,-0.2581433882,-0.3115812765,-0.605301367,-0.4134613226,-0.09655771303,-0.4953565907,-0.2588378142,-0.1117426207,-0.632752312,-0.2581433882,-0.3292381909,-0.5676016859,0.0115009063,-0.2455159412,-0.5956992234,0.1528534101,-0.257756583,-0.3708978042,0.384556434,-0.3849313552,-0.530928832,-0.02536870218,0.06245616737,-0.4826466621,-0.01861231799,-0.07673163282,-0.4512688598,0.06917052568
66,Male,1,Nash8- Human,0.4,0.5,0.8,0.6,0.40875,0.8333333333,-0.1659466272,-0.642315475,-0.02667489665,0.03602519869,-0.3845224077,-0.4164606083,-0.3847627587,-0.6176356172,-0.4636283472,-0.06651793389,-0.4319434174,-0.3096163047,-0.1593444852,-0.4919202333,-0.2307150755,-0.2363924756,-0.4874273003,-0.03971721171,-0.2925535562,-0.5273047578,-0.03998532731,-0.2363924756,-0.4874273003,-0.03971721171,-0.1002834851,-0.4942836966,0.09628181016,-0.158180803,-0.4737274415,0.06618438783,-0.05358396993,-0.5059397579,-0.01594119028,0.05323220034,-0.4621267652,-0.1030459625,-0.1181669234,-0.4124465953,-0.2683542359,-0.05358396993,-0.5059397579,-0.01594119028,0.1168807955,-0.4494673269,-0.2847213668,-0.2447152016,-0.5814776024,0.001532917185,-0.1978958673,-0.515917686,-0.5583908956,0.138310385,-0.4319562934,0.02307611204,0.2289445311,-0.5524397518,0.04551009906,0.3029138675,-0.3406972942,-0.2062448751
30,Female,1,Nash9- Human,0.8,0.8,1,0.8,0.3963636364,0.7777777778,-0.004848952296,-0.5570137975,0.6755227928,-0.05102847827,-0.4045031812,0.08591662043,-0.1674026212,-0.6609344403,-0.2660604806,-0.09733749786,-0.4998739633,-0.4591024858,0.1180716086,-0.4723463616,-0.003631405094,0.04994272321,-0.4886320228,-0.3277271539,-0.06385197886,-0.4116967119,-0.1150893659,0.04994272321,-0.4886320228,-0.3277271539,0.02610757432,-0.5321275409,0.1247774725,-0.1095317785,-0.4958141541,0.1636490631,-0.1482965747,-0.4782946183,-0.2744078062,-0.498882674,-0.6490376215,0.09956960373,-0.5278631192,-0.5234184764,-0.2934660175,-0.1482965747,-0.4782946183,-0.2744078062,0.3070556239,-0.4130353276,0.6031418995,0.442616008,-0.4109714202,0.03116732941,-0.0812689784,-0.466918523,0.4329703663,0.1204397935,-0.5027456699,-0.2758555898,0.04928576583,-0.5053039504,0.09564443496,0.1140987315,-0.5388544623,-0.3756265821
24,Female,1,Sarah-13 Human,0.65,0.65,0.4,0.8,0.3071969697,0.7777777778,-0.4317201264,-0.4773282423,0.6235533053,0.1031055883,-0.2368658565,0.04716872301,0.06070031247,-0.3852025405,0.1419965126,0.06670232317,-0.4537605188,0.08827549659,-0.02723283284,-0.5009569281,0.1778935027,0.09726831411,-0.4218341695,0.317940403,0.4302384769,-0.3342773861,0.02848157214,0.09726831411,-0.4218341695,0.317940403,-0.3092778239,-0.4572717853,-0.1723668634,-0.3137105456,-0.5036856867,-0.104987422,-0.2406211464,-0.2873767803,-0.2765472794,-0.3380900591,-0.3622652753,-0.3676522534,0.2856184332,-0.3038895875,-0.6383249893,-0.2406211464,-0.2873767803,-0.2765472794,-0.3157527406,-0.3929948062,0.6987861237,0.1070941969,-0.3762533599,-0.5312014647,0.2695367317,-0.4048409439,0.3206165205,0.4981180115,-0.3374269438,-0.2611246921,0.3283268244,-0.3216694172,0.03802923936,-0.1946719111,-0.3568375356,-0.3973711822
26,Female,1,Sarah-4 Human,0.4,0.55,0.6,0.4,0.3718939394,0.8888888889,-0.6277728101,-0.7353420964,0.5758244861,-0.3983120797,-0.5668806268,0.2024305401,-0.6110911361,-1.100277876,0.1335593037,-0.1916038495,-0.5716089366,-0.2774251599,-0.04029431636,-0.4541771737,-0.230462138,-0.3561293296,-0.6847587645,-0.1028040881,-0.1062666263,-0.5500824994,-0.02623291474,-0.3561293296,-0.6847587645,-0.1028040881,-0.1369318037,-0.576242892,0.3199104759,-0.007182359386,-0.5789052761,0.2565600943,0.2659088102,-0.4671703672,-0.2535557831,0.1935153324,-0.4359509154,0.2713257404,-0.4433954646,-0.6016839569,0.2134850961,0.2659088102,-0.4671703672,-0.2535557831,-0.2284277916,-0.4736124501,0.2484288792,0.2016723817,-0.5054255942,-0.2674700551,-0.03591893762,-0.4328813961,0.183811987,-0.3510418287,-0.6333018743,0.1063935749,0.4023164436,-0.515822787,0.5812663861,-0.03263418962,-0.4877754607,0.4083973016
24,Female,1,Sarah-6 Human,0.6,0.55,0.8,0.6,0.3150757576,0.8888888889,-0.3762110219,-0.5188321775,0.7319114284,-0.1464667992,-0.5468061372,0.01452535532,-0.3088536926,-0.498968194,0.03641043924,-0.1013270462,-0.4327984687,0.02895062742,-0.4439252553,-0.5848749587,0.3649856984,-0.2963352475,-0.4750072039,0.2487971915,-0.07795016739,-0.4449878196,0.1953076777,-0.2963352475,-0.4750072039,0.2487971915,0.1468371899,-0.3310706704,-0.2030095673,0.1756644951,-0.3609425971,-0.04826262984,-0.1810644947,-0.3640054473,-0.1280585009,0.06530710959,-0.3506888093,-0.3736590417,-0.05340818628,-0.400403379,0.1769936707,-0.1810644947,-0.3640054473,-0.1280585009,-0.3917826002,-0.5395483619,0.6552524822,-0.03338441996,-0.5900697079,-0.2120581457,-0.1041443193,-0.3983965342,0.2844960319,0.3228779671,-0.3329780944,-0.2269734771,-0.006831502592,-0.4101161584,0.3999141775,0.4463240923,-0.2362068376,-0.1997800346
24,Female,1,Sarah-9 Human,0.65,0.65,1,0.8,0.3170454545,0.8333333333,0.2151873059,-0.5397695486,0.4159621563,0.2324861543,-0.2686866405,0.07465443279,-0.477801894,-0.6652474325,0.01540711509,-0.3400687198,-0.5760688591,0.01336050561,-0.06716426338,-0.5121854504,0.3027061158,-0.1208017884,-0.5268226706,-0.2892860233,-0.1503180308,-0.4970174519,-0.4143313523,-0.1208017884,-0.5268226706,-0.2892860233,0.136750312,-0.5190138229,-0.02926067031,0.1135466056,-0.5868174784,0.05968124378,-0.1532257411,-0.591774571,-0.3845945107,-0.3120162893,-0.6826519662,-0.2126407329,0.2339690701,-0.6376173112,0.07704164569,-0.1532257411,-0.591774571,-0.3845945107,-0.1017705398,-0.6664885784,0.4599902246,0.2272106454,-0.4298355942,-0.06455085194,-0.122867126,-0.3331092098,-0.4792690442,0.3196991952,-0.6050646426,-0.4937504522,0.3247459402,-0.583551856,0.006173280768,-0.2123112766,-0.7735144526,-0.7490981662